x,y,flux(W/m2)
18.825,0.025,0.245673
18.775,0.025,0.261151
18.725,0.025,0.283161
18.675,0.025,0.302255
18.625,0.025,0.30749
18.575,0.025,0.314123
18.525,0.025,0.33573
18.475,0.025,0.36627
18.425,0.025,0.38398
18.375,0.025,0.401262
18.325,0.025,0.4377
18.275,0.025,0.478852
18.225,0.025,0.508702
18.175,0.025,0.553955
18.125,0.025,0.608342
18.075,0.025,0.664007
18.025,0.025,0.71606
17.975,0.025,0.777807
17.925,0.025,0.875272
17.875,0.025,0.985926
17.825,0.025,1.09508
17.775,0.025,1.21066
17.725,0.025,1.38336
17.675,0.025,1.54931
17.625,0.025,1.76533
17.575,0.025,1.95269
17.525,0.025,2.19719
17.475,0.025,2.49644
17.425,0.025,2.78992
17.375,0.025,3.06436
17.325,0.025,3.35275
17.275,0.025,3.63786
17.225,0.025,4.01196
17.175,0.025,4.44852
17.125,0.025,4.89584
17.075,0.025,5.36963
17.025,0.025,5.84556
16.975,0.025,6.31916
16.925,0.025,6.80804
16.875,0.025,7.31636
16.825,0.025,7.86148
16.775,0.025,8.50056
16.725,0.025,9.04454
16.675,0.025,9.54365
16.625,0.025,9.95414
16.575,0.025,10.4466
16.525,0.025,10.9619
16.475,0.025,11.4926
16.425,0.025,11.9469
16.375,0.025,12.3388
16.325,0.025,12.7389
16.275,0.025,13.1835
16.225,0.025,13.514
16.175,0.025,13.7833
16.125,0.025,13.9657
16.075,0.025,14.1493
16.025,0.025,14.3456
15.975,0.025,14.4849
15.925,0.025,14.5148
15.875,0.025,14.6071
15.825,0.025,14.5555
15.775,0.025,14.4617
15.725,0.025,14.3799
15.675,0.025,14.2309
15.625,0.025,13.9771
15.575,0.025,13.7134
15.525,0.025,13.4642
15.475,0.025,13.1247
15.425,0.025,12.6762
15.375,0.025,12.1776
15.325,0.025,11.7274
15.275,0.025,11.3564
15.225,0.025,10.9305
15.175,0.025,10.4167
15.125,0.025,9.9344
15.075,0.025,9.47768
15.025,0.025,8.99254
14.975,0.025,8.40693
14.925,0.025,7.8748
14.875,0.025,7.38054
14.825,0.025,6.90015
14.775,0.025,6.4381
14.725,0.025,6.02331
14.675,0.025,5.60525
14.625,0.025,5.0937
14.575,0.025,4.63694
14.525,0.025,4.29196
14.475,0.025,3.96347
14.425,0.025,3.64071
14.375,0.025,3.3437
14.325,0.025,3.02616
14.275,0.025,2.71595
14.225,0.025,2.45416
14.175,0.025,2.21708
14.125,0.025,2.00414
14.075,0.025,1.81663
14.025,0.025,1.62832
13.975,0.025,1.44402
13.925,0.025,1.32073
13.875,0.025,1.19814
13.825,0.025,1.07638
13.775,0.025,0.961617
13.725,0.025,0.867717
13.675,0.025,0.767582
13.625,0.025,0.686045
13.575,0.025,0.626359
13.525,0.025,0.570425
13.475,0.025,0.51882
13.425,0.025,0.474807
13.375,0.025,0.435755
13.325,0.025,0.396678
13.275,0.025,0.358435
13.225,0.025,0.335572
13.175,0.025,0.313343
13.125,0.025,0.308378
13.075,0.025,0.306794
13.025,0.025,0.305127
12.975,0.025,0.283067
12.925,0.025,0.255517
12.875,0.025,0.237399
12.825,0.025,0.236349
12.775,0.025,0.235195
12.725,0.025,0.229598
12.675,0.025,0.218625
12.625,0.025,0.204503
12.575,0.025,0.193735
12.525,0.025,0.187395
12.475,0.025,0.166913
12.425,0.025,0.159273
12.375,0.025,0.161185
12.325,0.025,0.155916
12.275,0.025,0.144723
12.225,0.025,0.132885
12.175,0.025,0.126254
12.125,0.025,0.130113
12.075,0.025,0.136337
12.025,0.025,0.130279
11.975,0.025,0.116487
11.925,0.025,0.104856
11.875,0.025,0.099779
11.825,0.025,0.100249
11.775,0.025,0.101477
11.725,0.025,0.0983544
11.675,0.025,0.0927093
11.625,0.025,0.0888039
11.575,0.025,0.0797694
11.525,0.025,0.0748401
11.475,0.025,0.0680007
11.425,0.025,0.0572462
11.375,0.025,0.0566735
11.325,0.025,0.0617932
11.275,0.025,0.0602444
11.225,0.025,0.0532344
11.175,0.025,0.0466432
11.125,0.025,0.0478887
11.075,0.025,0.0555659
11.025,0.025,0.0562049
10.975,0.025,0.0496895
10.925,0.025,0.0399317
10.875,0.025,0.0353643
10.825,0.025,0.0300671
10.775,0.025,0.0320096
10.725,0.025,0.0366588
10.675,0.025,0.0322198
10.625,0.025,0.0271815
10.575,0.025,0.0289382
10.525,0.025,0.0312347
10.475,0.025,0.0282474
10.425,0.025,0.0248889
10.375,0.025,0.019785
10.325,0.025,0.0189745
10.275,0.025,0.0182007
10.225,0.025,0.0177631
10.175,0.025,0.0176649
10.125,0.025,0.0174154
10.075,0.025,0.0159898
10.025,0.025,0.0137122
9.975,0.025,0.0109262
9.925,0.025,0.00979009
9.875,0.025,0.011248
9.825,0.025,0.00923306
9.775,0.025,0.00735156
9.725,0.025,0.00720642
9.675,0.025,0.00317135
9.625,0.025,0.0036694
9.575,0.025,0.00421303
9.525,0.025,0.00377844
9.475,0.025,0.00235417
9.425,0.025,0.00324138
9.375,0.025,0.00263954
9.325,0.025,0.00209349
9.275,0.025,0.000963416
9.225,0.025,0.00106888
9.175,0.025,0.00138082
9.125,0.025,0.00130878
9.075,0.025,0.000563653
9.025,0.025,0.000105862
8.975,0.025,0
8.925,0.025,0
8.875,0.025,0
8.825,0.025,0
8.775,0.025,0
8.725,0.025,0
8.675,0.025,0
8.625,0.025,0
8.575,0.025,0
8.525,0.025,0
8.475,0.025,0
8.425,0.025,0
8.375,0.025,0
8.325,0.025,0
8.275,0.025,0
8.225,0.025,0
8.175,0.025,0
8.125,0.025,0
8.075,0.025,0
8.025,0.025,0
7.975,0.025,0
7.925,0.025,0
7.875,0.025,0
7.825,0.025,0
7.775,0.025,0
7.725,0.025,0
7.675,0.025,0
7.625,0.025,0
7.575,0.025,0
7.525,0.025,0
7.475,0.025,0
7.425,0.025,0
7.375,0.025,0
7.325,0.025,0
7.275,0.025,0
7.225,0.025,0
7.175,0.025,0
7.125,0.025,0
7.075,0.025,0
7.025,0.025,0
